	CKG1	CKG2	CKG3
otu1220	401	273	315
otu1221	425	398	264
otu1222	132	79	163
otu1223	386	341	227
otu1224	386	419	420
otu1225	288	553	273
otu1226	385	197	408
otu1227	333	29	235
otu1228	378	385	276
otu1229	198	135	140
otu1230	195	243	103
otu1231	301	301	254
otu1232	382	283	233
otu1233	107	120	158
otu1234	410	170	293
otu1235	235	584	397
otu1236	330	410	338
otu1237	373	269	224
otu1238	152	87	204
otu1239	565	223	475
otu1240	498	296	251
otu1241	325	451	229
otu1242	171	61	115
otu1243	184	119	203
otu1244	486	214	301
otu1245	252	433	360
otu1246	329	399	205
otu1247	401	443	361
otu1248	385	250	312
otu1249	332	233	317
otu1250	497	196	228
otu1251	380	433	270
otu1252	316	284	354
otu1253	308	321	192
otu1254	378	211	270
otu1255	171	63	182
otu1256	329	370	216
otu1257	332	299	277
otu1258	406	311	271
otu1259	203	444	94
otu1260	174	109	150
otu1261	404	495	210
otu1262	578	16	35
otu1263	191	97	190
otu1264	525	273	342
otu1265	107	92	155
otu1266	393	363	329
otu1267	383	104	273
otu1268	122	291	70
otu1269	132	117	161
otu1270	144	95	221
otu1271	441	331	292
otu1272	353	381	260
otu1273	86	250	61
otu1274	381	343	237
otu1275	257	297	474
otu1276	199	223	60
otu1277	170	131	202
otu1278	440	286	144
otu1279	124	150	178
otu1280	386	310	262
otu1281	410	256	221
otu1282	99	487	116
otu1283	106	115	96
otu1284	400	383	263
otu1285	294	249	382
otu1286	380	262	219
otu1287	306	265	311
otu1288	394	337	295
otu1289	315	346	276
otu1290	412	378	132
otu1291	114	126	139
otu1292	350	362	132
otu1293	274	218	195
otu1294	80	148	191
otu1295	590	123	142
otu1296	121	37	139
otu1297	344	295	295
otu1298	84	96	124
otu1299	461	198	287
otu1300	59	50	213
otu1301	460	164	218
otu1302	193	66	137
otu1303	294	123	243
otu1304	256	251	301
otu1305	130	125	155
otu1306	309	304	349
otu1307	354	126	267
otu1308	354	291	307
otu1309	136	35	192
otu1310	422	194	229
otu1311	408	174	169
otu1312	244	260	238
otu1313	101	82	376
otu1314	132	67	231
otu1315	370	412	152
otu1316	280	317	334
otu1317	389	243	169
otu1318	381	292	104
otu1319	494	132	237
otu1320	328	288	188
otu1321	429	250	307
otu1322	217	52	280
otu1323	399	340	195
otu1324	77	132	240
otu1325	104	66	163
otu1326	418	321	222
otu1327	576	191	333
otu1328	484	182	255
otu1329	271	187	418
otu1330	305	312	267
otu1331	131	194	80
otu1332	434	282	255
otu1333	390	148	540
otu1334	298	272	292
otu1335	265	533	138
otu1336	488	280	311
otu1337	102	77	114
otu1338	331	265	267
otu1339	258	349	234
otu1340	256	463	202
otu1341	207	340	555
otu1342	354	337	229
otu1343	283	256	274
otu1344	109	62	226
otu1345	278	224	236
otu1346	416	67	95
otu1347	171	84	133
otu1348	296	206	236
otu1349	518	304	139
otu1350	218	201	528
otu1351	374	372	213
otu1352	271	449	211
otu1353	150	74	169
otu1354	366	293	267
otu1355	287	354	163
otu1356	104	108	147
otu1357	333	121	258
otu1358	173	48	177
otu1359	238	610	166
otu1360	295	276	175
otu1361	321	327	262
otu1362	243	281	280
otu1363	267	299	191
otu1364	268	470	197
otu1365	445	194	104
otu1366	130	56	145
otu1367	260	300	311
otu1368	422	195	377
otu1369	208	215	341
otu1370	505	165	77
otu1371	188	244	54
otu1372	437	322	164
otu1373	307	443	177
otu1374	100	85	132
otu1375	207	173	145
otu1376	324	311	145
otu1377	450	195	295
otu1378	106	16	190
otu1379	128	75	95
otu1380	461	63	550
otu1381	251	397	173
otu1382	415	236	252
otu1383	288	311	224
otu1384	270	420	179
otu1385	255	301	327
otu1386	367	241	145
otu1387	338	186	241
otu1388	330	200	282
otu1389	529	205	151
otu1390	204	93	155
otu1391	235	148	59
otu1392	101	199	195
otu1393	111	75	147
otu1394	333	233	180
otu1395	376	264	126
otu1396	212	382	232
otu1397	264	22	160
otu1398	366	319	201
otu1399	222	227	188
otu1400	117	59	161
otu1401	348	264	149
otu1402	354	303	282
otu1403	78	609	223
otu1404	314	404	214
otu1405	346	235	180
otu1406	294	397	101
otu1407	80	91	154
otu1408	187	353	151
otu1409	145	45	200
otu1410	502	41	41
otu1411	59	198	65
otu1412	214	333	209
otu1413	127	129	157
otu1414	173	112	99
otu1415	106	16	179
otu1416	344	318	275
otu1417	108	114	114
otu1418	359	283	241
otu1419	500	94	470
otu1420	209	410	196
otu1421	88	128	92
otu1422	95	98	129
otu1423	230	304	292
otu1424	453	49	226
otu1425	128	26	181
otu1426	223	463	149
otu1427	188	54	97
otu1428	340	214	156
otu1429	86	102	686
otu1430	99	91	180
otu1431	413	93	71
otu1432	309	238	189
otu1433	332	236	246
otu1434	440	115	137
otu1435	87	40	98
otu1436	302	245	148
otu1437	419	272	233
otu1438	270	222	125
otu1439	428	114	236
otu1440	95	59	106
otu1441	266	296	134
otu1442	165	4	48
otu1443	94	54	125
otu1444	410	56	584
otu1445	115	26	149
otu1446	343	298	225
otu1447	166	47	174
otu1448	365	152	370
otu1449	126	152	153
otu1450	155	665	97
otu1451	413	79	32
otu1452	299	285	146
otu1453	71	98	34
otu1454	412	54	50
otu1455	226	296	227
otu1456	249	287	122
otu1457	352	242	143
otu1458	91	164	209
otu1459	152	248	313
otu1460	90	93	16
otu1461	172	163	84
otu1462	365	244	147
otu1463	253	12	153
otu1464	243	181	148
otu1465	442	173	116
otu1466	175	169	385
otu1467	237	460	120
otu1468	122	230	38
otu1469	224	207	317
otu1470	74	108	157
otu1471	433	150	310
otu1472	245	160	169
otu1473	277	340	221
otu1474	305	174	103
otu1475	357	195	212
otu1476	216	137	133
otu1477	404	122	91
otu1478	243	167	169
otu1479	282	224	266
otu1480	240	244	232
otu1481	310	186	75
otu1482	348	176	243
otu1483	100	188	118
otu1484	353	197	195
otu1485	460	4	7
otu1486	297	243	175
otu1487	76	181	513
otu1488	250	373	169
otu1489	328	241	150
otu1490	290	327	167
otu1491	73	96	187
otu1492	488	0	5
otu1493	221	404	203
otu1494	82	160	25
otu1495	92	75	177
otu1496	337	68	46
otu1497	57	136	154
otu1498	59	65	115
otu1499	296	195	182
otu1500	188	166	219
otu1501	18	100	240
otu1502	442	163	125
otu1503	59	202	125
otu1504	147	523	72
otu1505	333	198	241
otu1506	66	65	97
otu1507	121	66	96
otu1508	80	216	169
otu1509	329	189	252
otu1510	174	368	285
otu1511	257	244	178
otu1512	232	298	149
otu1513	180	194	423
otu1514	142	68	108
otu1515	293	443	51
otu1516	41	19	14
otu1517	173	69	86
otu1518	314	247	62
otu1519	179	208	249
otu1520	266	288	200
otu1521	332	144	157
otu1522	200	167	363
otu1523	220	263	207
otu1524	210	182	123
otu1525	151	165	74
otu1526	129	271	77
otu1527	309	274	179
otu1528	282	240	226
otu1529	24	90	129
otu1530	407	186	132
otu1531	73	119	122
otu1532	194	109	199
otu1533	407	126	118
otu1534	210	203	141
otu1535	129	163	104
otu1536	287	277	196
otu1537	301	166	181
otu1538	163	273	133
otu1539	87	83	161
otu1540	125	52	100
otu1541	297	266	164
otu1542	154	640	152
otu1543	293	284	208
otu1544	234	472	178
otu1545	275	292	130
otu1546	220	240	280
otu1547	268	232	118
otu1548	252	179	234
otu1549	356	136	191
otu1550	342	206	181
otu1551	112	58	152
otu1552	94	55	104
otu1553	247	181	162
otu1554	394	116	266
otu1555	357	115	198
otu1556	81	66	89
otu1557	79	105	116
otu1558	297	199	148
otu1559	215	209	328
otu1560	171	94	283
otu1561	314	231	161
otu1562	288	193	177
otu1563	65	56	141
otu1564	130	188	44
otu1565	139	73	438
otu1566	143	188	98
otu1567	198	257	137
otu1568	303	195	237
otu1569	298	306	181
otu1571	107	66	101
otu1572	347	147	161
otu1573	221	172	159
otu1574	213	196	242
otu1575	283	248	134
otu1576	286	176	118
otu1577	207	212	141
otu1578	257	193	142
otu1579	96	18	146
otu1580	140	95	43
otu1581	277	181	167
otu1582	204	219	138
otu1583	267	126	199
otu1584	124	309	128
otu1585	259	257	258
otu1586	307	167	188
otu1587	165	108	115
otu1588	247	233	231
otu1589	196	293	224
otu1590	63	130	222
otu1591	81	21	136
otu1592	12	82	141
otu1593	262	192	151
otu1594	367	255	61
otu1595	270	178	88
otu1596	361	153	157
otu1597	69	108	96
otu1598	246	444	158
otu1599	343	82	94
otu1600	262	283	110
otu1601	264	270	124
otu1602	98	20	122
otu1603	257	267	121
otu1604	213	303	169
otu1605	328	213	127
otu1606	199	350	122
otu1607	164	164	105
otu1608	205	148	276
otu1609	71	103	33
otu1610	315	147	187
otu1611	98	38	98
otu1612	205	178	140
otu1613	206	319	141
otu1614	244	28	337
otu1615	168	371	109
otu1616	53	84	108
otu1617	105	46	108
otu1618	136	104	69
otu1619	117	12	134
otu1620	336	184	184
otu1621	281	158	245
otu1622	176	491	160
otu1623	106	223	133
otu1624	205	169	116
otu1625	271	229	76
otu1626	37	122	130
otu1627	192	203	230
otu1628	266	117	137
otu1629	225	175	122
otu1630	182	104	209
otu1631	121	104	148
otu1632	179	175	214
otu1633	144	366	181
otu1634	329	54	463
otu1635	255	271	147
otu1636	146	226	56
otu1637	264	266	101
otu1638	170	194	263
otu1639	67	92	124
otu1640	99	106	340
otu1641	228	203	188
otu1642	109	114	277
otu1643	93	14	138
otu1644	152	59	95
otu1645	138	85	179
otu1646	216	188	157
otu1647	84	32	109
otu1648	293	149	200
otu1649	208	141	265
otu1650	252	160	111
otu1651	233	119	118
otu1652	194	150	150
otu1653	62	178	142
otu1654	123	125	213
otu1655	118	139	254
otu1656	97	54	85
otu1657	316	322	137
otu1658	89	61	52
otu1659	63	116	117
otu1660	69	61	75
otu1661	70	51	103
otu1662	296	262	130
otu1663	78	67	92
otu1664	154	243	174
otu1665	63	44	92
otu1666	128	161	111
otu1667	206	259	110
otu1668	167	227	237
otu1669	204	313	143
otu1670	319	198	126
otu1671	246	95	245
otu1672	216	126	168
otu1673	102	37	93
otu1674	110	60	31
otu1675	246	194	141
otu1676	62	187	159
otu1677	64	52	80
otu1678	53	28	69
otu1679	291	195	191
otu1680	186	299	150
otu1681	127	94	103
otu1682	58	63	98
otu1683	126	45	96
otu1684	202	192	126
otu1685	148	350	103
otu1686	152	244	270
otu1687	298	96	191
otu1688	221	177	144
otu1689	141	121	317
otu1690	223	246	87
otu1691	256	238	144
otu1692	104	142	100
otu1693	184	142	113
otu1694	213	261	117
otu1695	244	128	214
otu1696	107	127	68
otu1697	90	86	104
otu1698	193	147	173
otu1699	201	176	150
otu1700	98	50	77
otu1701	110	39	116
otu1702	127	202	120
otu1703	248	165	133
otu1704	252	246	115
otu1705	198	271	145
otu1706	230	260	134
otu1707	247	163	174
otu1708	54	48	93
otu1709	253	290	97
otu1710	251	198	168
otu1711	268	29	67
otu1712	85	310	260
otu1713	206	63	152
otu1714	158	162	244
otu1715	150	333	104
otu1716	152	268	201
otu1717	224	162	222
otu1718	150	177	160
otu1719	69	67	84
otu1720	171	268	90
otu1721	47	105	82
otu1722	174	141	138
otu1723	179	190	94
otu1724	106	52	82
otu1725	162	225	154
otu1726	77	67	97
otu1727	241	111	183
otu1728	244	199	100
otu1729	250	70	279
otu1730	311	132	117
otu1731	154	282	113
otu1732	210	295	163
otu1733	294	144	146
otu1734	216	201	94
otu1735	259	229	137
otu1736	322	92	106
otu1737	169	337	94
otu1738	233	105	163
otu1739	154	188	115
otu1740	51	69	111
otu1741	151	260	114
otu1742	94	47	68
otu1743	141	254	175
otu1744	148	117	123
otu1745	158	329	141
otu1746	198	345	148
otu1747	48	53	54
otu1748	289	122	184
otu1749	31	48	88
otu1750	208	226	133
otu1751	194	126	211
otu1752	231	258	79
otu1753	192	30	100
otu1754	256	187	145
otu1755	155	220	141
otu1756	98	218	222
otu1757	67	72	87
otu1758	0	122	173
otu1759	181	210	175
otu1760	181	231	146
otu1761	247	159	176
otu1762	121	69	135
otu1763	97	11	99
otu1764	184	128	149
otu1765	161	158	161
otu1766	162	73	112
otu1767	74	142	43
otu1768	108	115	268
otu1769	16	32	19
otu1770	294	111	169
otu1771	192	216	176
otu1772	261	95	226
otu1773	181	307	108
otu1774	242	199	109
otu1775	94	82	84
otu1776	207	146	73
otu1777	299	49	32
otu1778	154	144	219
otu1779	73	127	80
otu1780	99	75	77
otu1781	101	292	229
otu1782	97	57	97
otu1783	188	226	193
otu1784	77	95	83
otu1785	289	81	124
otu1786	180	178	120
otu1787	256	124	126
otu1788	248	111	136
otu1789	293	89	57
otu1790	61	80	140
otu1791	64	59	77
otu1792	252	124	77
otu1793	84	51	81
otu1794	321	167	57
otu1795	221	136	123
otu1796	146	141	125
otu1797	252	149	136
otu1798	197	269	102
otu1799	124	168	126
otu1800	224	99	127
otu1801	96	84	75
otu1802	161	300	96
otu1803	209	106	313
otu1804	204	131	106
otu1805	88	38	64
otu1806	239	260	153
otu1807	100	207	236
otu1808	384	83	73
otu1809	305	34	273
otu1810	93	67	113
otu1811	174	122	164
otu1812	219	130	179
otu1813	84	65	87
otu1814	80	82	77
otu1815	223	138	146
otu1816	328	117	39
otu1817	245	114	139
otu1818	88	46	75
otu1819	155	124	109
otu1820	139	34	181
otu1821	161	299	97
otu1822	258	131	63
otu1823	131	131	129
otu1824	178	221	93
otu1825	170	140	38
otu1826	225	170	146
otu1827	48	152	122
otu1828	86	29	58
otu1829	132	308	114
otu1830	173	123	171
otu1831	100	69	197
otu1832	65	59	61
otu1833	18	9	118
otu1834	169	123	188
otu1835	111	215	140
otu1836	42	139	177
otu1837	228	125	120
otu1838	136	205	106
otu1839	77	38	68
otu1840	163	7	89
otu1841	172	132	150
otu1842	143	202	109
otu1843	63	54	102
otu1844	314	96	198
otu1845	57	79	73
otu1846	83	61	115
otu1847	169	168	108
otu1848	273	84	60
otu1849	110	301	84
otu1850	127	151	174
otu1851	67	45	78
otu1852	74	34	71
otu1853	119	223	178
otu1854	180	61	154
otu1855	158	233	122
otu1856	146	49	86
otu1857	222	104	154
otu1858	83	51	106
otu1859	248	124	151
otu1860	252	74	260
otu1861	102	67	119
otu1862	250	70	204
otu1863	88	29	88
otu1864	81	107	58
otu1865	201	135	146
otu1866	53	42	357
otu1867	175	36	148
otu1868	62	46	96
otu1869	48	24	87
otu1870	60	44	64
otu1871	151	181	107
otu1872	46	26	88
otu1873	161	90	241
otu1874	210	143	116
otu1875	42	93	92
otu1876	163	281	80
otu1877	206	132	208
otu1878	162	195	168
otu1879	131	219	123
otu1880	183	149	155
otu1881	142	213	69
otu1882	177	98	174
otu1883	169	126	141
otu1884	203	133	129
otu1885	64	6	93
otu1886	153	147	99
otu1887	113	230	85
otu1888	206	203	97
otu1889	195	202	91
otu1890	184	120	83
otu1891	182	44	93
otu1892	133	104	183
otu1893	223	153	134
otu1894	81	65	68
otu1895	64	82	97
otu1896	8	4	485
otu1897	146	187	143
otu1898	39	156	54
otu1899	68	62	74
otu1900	211	66	110
otu1901	138	272	116
otu1902	116	218	173
otu1903	288	65	61
otu1904	43	66	85
otu1905	7	0	0
otu1906	146	121	181
otu1907	71	62	96
otu1908	189	140	126
otu1909	166	118	150
otu1910	72	42	81
otu1911	138	227	118
otu1912	199	116	167
otu1913	167	95	56
otu1914	80	23	79
otu1915	215	101	53
otu1916	165	163	90
otu1917	85	58	75
otu1918	36	93	77
otu1919	181	225	93
otu1920	225	176	124
otu1921	40	40	21
otu1922	167	310	101
otu1923	99	30	72
otu1924	237	147	116
otu1925	131	211	115
otu1926	73	35	52
otu1927	32	67	85
otu1928	168	54	152
otu1929	159	116	95
otu1930	123	82	103
otu1931	135	283	128
otu1932	88	104	310
otu1933	235	145	87
otu1934	165	324	114
otu1935	187	147	95
otu1936	128	179	78
otu1937	38	97	105
otu1938	94	81	87
otu1939	31	46	92
otu1940	240	131	96
otu1941	278	22	321
otu1942	65	59	64
otu1943	182	113	115
otu1944	231	145	128
otu1945	38	67	77
otu1946	77	172	190
otu1947	146	97	91
otu1948	83	27	71
otu1949	219	180	73
otu1950	113	145	201
otu1951	30	41	72
otu1952	217	163	113
otu1953	34	80	89
otu1954	59	32	51
otu1955	35	54	75
otu1956	66	73	123
otu1957	31	61	52
otu1958	86	73	275
otu1959	130	146	89
otu1960	47	59	112
otu1961	86	31	95
otu1962	208	102	122
otu1963	128	171	172
otu1964	212	167	95
otu1965	108	267	131
otu1966	9	0	9
otu1967	184	221	117
otu1968	109	104	15
otu1969	113	111	187
otu1970	215	86	114
otu1971	168	177	110
otu1972	169	131	131
otu1973	203	177	127
otu1974	19	19	14
otu1975	44	31	105
otu1976	139	66	244
otu1977	220	111	104
otu1978	159	182	106
otu1979	251	59	223
otu1980	49	71	70
otu1981	240	126	107
otu1982	228	38	64
otu1983	187	139	105
otu1984	125	184	153
otu1985	107	118	46
otu1986	136	82	83
otu1987	146	218	110
otu1988	67	95	40
otu1989	144	96	120
otu1990	66	29	62
otu1991	74	34	54
otu1992	187	183	111
otu1993	126	92	179
otu1994	88	154	173
otu1995	75	53	75
otu1996	142	242	86
otu1997	160	117	35
otu1998	99	53	104
otu1999	147	124	115
otu2000	126	205	95
otu2001	227	59	236
otu2002	97	238	99
otu2003	23	38	50
otu2004	171	161	118
otu2005	119	99	34
otu2006	163	249	119
otu2007	228	167	96
otu2008	85	19	51
otu2009	74	103	55
otu2010	51	109	78
otu2011	97	62	82
otu2012	255	53	113
otu2013	183	117	95
otu2014	67	66	92
otu2015	149	322	103
otu2016	115	210	74
otu2017	208	84	70
otu2018	38	27	98
otu2019	178	164	124
otu2020	69	103	52
otu2021	175	55	66
otu2022	108	117	182
otu2023	169	180	104
otu2024	109	137	245
otu2025	89	25	95
otu2026	119	139	174
otu2027	202	132	78
otu2028	55	38	204
otu2029	38	74	48
otu2030	96	66	191
otu2031	182	163	76
otu2032	121	56	128
otu2033	84	21	81
otu2034	80	37	63
otu2035	63	16	92
otu2036	141	147	128
otu2037	114	225	64
otu2038	64	90	83
otu2039	119	154	126
otu2040	165	158	116
otu2041	157	81	69
otu2042	50	78	86
otu2043	123	219	75
otu2044	112	215	70
otu2045	276	41	141
otu2046	133	276	73
otu2047	147	144	69
otu2048	28	54	178
otu2049	159	119	140
otu2050	79	109	272
otu2051	101	157	170
otu2052	167	167	129
otu2053	102	213	26
otu2054	253	30	0
otu2055	161	265	108
otu2056	130	201	75
otu2057	200	145	95
otu2058	157	144	72
otu2059	79	27	42
otu2060	52	32	82
otu2061	179	187	107
otu2062	230	85	54
otu2063	29	579	9
otu2064	41	20	50
otu2065	135	240	84
otu2066	139	57	91
otu2067	85	28	58
otu2068	133	155	145
otu2069	90	32	58
otu2070	57	37	49
otu2071	182	154	108
otu2072	56	47	62
otu2073	175	209	98
otu2074	66	24	48
otu2075	114	56	70
otu2076	169	107	122
otu2077	87	109	99
otu2078	68	23	88
otu2079	36	37	91
otu2080	119	70	64
otu2081	246	124	126
otu2082	44	49	53
otu2083	200	121	102
otu2084	150	139	152
otu2085	41	24	71
otu2086	168	12	48
otu2087	122	171	147
otu2088	129	15	72
otu2089	59	32	92
otu2090	139	113	143
otu2091	88	130	159
otu2092	99	48	224
otu2093	34	50	51
otu2094	90	208	51
otu2095	76	134	96
otu2096	180	107	85
otu2097	30	34	82
otu2098	233	32	256
otu2099	135	75	84
otu2100	94	168	151
otu2101	216	57	28
otu2102	133	281	87
otu2103	159	93	81
otu2104	175	86	119
otu2105	218	155	35
otu2106	67	132	176
otu2107	91	106	170
otu2108	75	24	52
otu2109	166	32	129
otu2110	157	71	200
otu2111	121	138	111
otu2112	134	214	80
otu2113	192	89	59
otu2114	113	87	83
otu2115	30	56	65
otu2116	264	71	26
otu2117	147	120	98
otu2118	51	52	164
otu2119	40	37	65
otu2120	43	59	62
otu2121	140	124	91
otu2122	230	63	229
otu2123	123	89	129
otu2124	121	272	71
otu2125	81	34	43
otu2126	154	125	110
otu2127	53	16	73
otu2128	183	58	143
otu2129	107	410	36
otu2130	16	75	83
otu2131	230	32	12
otu2132	115	112	75
otu2133	37	40	54
otu2134	63	74	88
otu2135	125	86	101
otu2136	107	77	33
otu2137	111	267	57
otu2138	87	59	79
otu2139	73	141	184
otu2140	58	45	150
otu2141	47	107	45
otu2142	179	123	79
otu2143	109	210	80
otu2144	160	33	22
otu2145	81	30	127
otu2146	51	32	44
otu2147	30	63	63
otu2148	64	24	46
otu2149	155	46	104
otu2150	107	111	69
otu2151	103	194	101
otu2152	176	29	200
otu2153	193	44	61
otu2154	178	104	125
otu2155	55	31	42
otu2156	172	79	198
otu2157	116	95	90
otu2158	207	21	244
otu2159	126	51	150
otu2160	34	30	61
otu2161	161	124	75
otu2162	139	165	111
otu2163	143	48	115
otu2164	147	113	54
otu2165	133	163	86
otu2166	181	239	79
otu2167	122	97	90
otu2168	35	72	74
otu2169	190	79	65
otu2170	156	121	61
otu2171	144	79	204
otu2172	29	58	64
otu2173	33	39	66
otu2174	103	165	49
otu2175	162	159	45
otu2176	101	139	160
otu2177	153	137	99
otu2178	55	107	131
otu2179	118	42	52
otu2180	210	20	195
otu2181	135	29	117
otu2182	152	155	54
otu2183	204	61	87
otu2184	133	22	39
otu2185	96	247	80
otu2186	156	41	109
otu2187	55	54	107
otu2188	34	42	59
otu2189	75	77	183
otu2190	123	161	109
otu2191	41	21	70
otu2192	56	51	83
otu2193	61	27	49
otu2194	6	42	76
otu2195	119	135	100
otu2196	70	14	80
otu2197	142	135	108
otu2198	118	85	29
otu2199	134	85	64
otu2200	138	156	68
otu2201	184	82	74
otu2202	126	182	46
otu2203	119	153	46
otu2204	20	73	156
otu2205	134	59	65
otu2206	93	40	49
otu2207	78	88	47
otu2208	127	60	143
otu2209	131	114	94
otu2210	81	46	51
otu2211	135	180	76
otu2212	34	24	44
otu2213	74	34	51
otu2214	85	273	53
otu2215	134	145	115
otu2216	21	27	79
otu2217	77	16	89
otu2218	62	57	72
otu2219	42	24	65
otu2220	158	137	87
otu2221	67	183	159
otu2222	121	28	150
otu2223	137	105	173
otu2224	12	33	76
otu2225	111	154	94
otu2226	99	90	131
otu2227	54	25	43
otu2228	57	27	49
otu2229	147	82	75
otu2230	116	178	71
otu2231	75	18	91
otu2232	141	154	114
otu2233	42	52	71
otu2234	220	47	45
otu2235	64	30	56
otu2236	71	201	88
otu2237	117	160	91
otu2238	182	77	75
otu2239	161	71	72
otu2240	93	100	139
otu2241	153	46	78
otu2242	114	139	69
otu2243	121	201	56
otu2244	103	49	84
otu2245	107	12	66
otu2246	177	92	48
otu2247	116	144	89
otu2248	119	170	57
otu2249	97	140	93
otu2250	46	53	83
otu2251	66	30	42
otu2252	160	98	55
otu2253	93	59	63
otu2254	59	124	143
otu2255	200	65	15
otu2256	106	194	62
otu2257	41	62	92
otu2258	150	201	76
otu2259	66	245	116
otu2260	110	148	110
otu2261	99	96	115
otu2262	27	54	66
otu2263	67	68	54
otu2264	81	118	95
otu2265	53	10	73
otu2266	35	45	146
otu2267	44	99	26
otu2268	203	40	43
otu2269	54	35	82
otu2270	82	36	53
otu2271	120	59	139
otu2272	36	61	39
otu2273	130	71	116
otu2274	115	174	71
otu2275	164	53	102
otu2276	104	66	47
otu2277	126	150	110
otu2278	69	78	166
otu2279	170	62	87
otu2280	112	158	94
otu2281	82	98	15
otu2282	35	30	41
otu2283	93	213	79
otu2284	58	34	58
otu2285	47	26	52
otu2286	59	61	63
otu2287	115	89	96
otu2288	222	74	41
otu2289	157	94	69
otu2290	100	125	68
otu2291	66	13	32
otu2292	66	28	43
otu2293	107	96	92
otu2294	163	64	72
otu2295	58	166	157
otu2296	133	93	39
otu2297	162	38	34
otu2298	203	57	140
otu2299	61	61	82
otu2300	143	149	48
otu2301	97	63	173
otu2302	107	171	65
otu2303	192	12	25
otu2304	57	42	61
otu2305	51	37	97
otu2306	85	58	118
otu2307	159	41	50
otu2308	122	60	74
otu2309	173	115	108
otu2310	117	150	58
otu2311	78	246	56
otu2312	151	81	70
otu2313	41	51	177
otu2314	48	72	226
otu2315	92	191	70
otu2316	40	21	44
otu2317	103	169	78
otu2318	152	136	66
otu2319	161	89	92
otu2320	194	24	35
otu2321	155	65	53
otu2322	28	64	210
otu2323	62	73	53
otu2324	107	139	86
otu2325	104	31	88
otu2326	56	33	23
otu2327	45	11	195
otu2328	125	75	117
otu2329	148	79	86
otu2330	60	123	58
otu2331	63	85	66
otu2332	93	158	81
otu2333	58	29	39
otu2334	76	172	70
otu2335	126	143	41
otu2336	0	28	0
otu2337	184	12	108
otu2338	115	88	77
otu2339	90	159	69
otu2340	39	26	51
otu2341	73	68	76
otu2342	131	59	115
otu2343	129	79	110
otu2344	98	86	81
otu2345	56	60	50
otu2346	82	196	51
otu2347	82	81	81
otu2348	105	4	62
otu2349	169	55	42
otu2350	129	82	102
otu2351	75	199	52
otu2352	170	15	17
otu2353	62	35	36
otu2354	49	49	45
otu2355	57	90	65
otu2356	37	23	44
otu2357	124	91	21
otu2358	142	57	77
otu2359	58	40	57
otu2360	62	90	50
otu2361	157	67	66
otu2362	55	68	40
otu2363	97	153	115
otu2364	149	122	50
otu2365	148	79	66
otu2366	98	211	74
otu2367	143	83	77
otu2368	114	47	170
otu2369	21	73	75
otu2370	81	183	47
otu2371	58	125	116
otu2372	70	77	63
otu2373	214	30	19
otu2374	147	100	73
otu2375	78	177	54
otu2376	77	97	80
otu2377	96	169	47
otu2378	57	18	45
otu2379	116	44	86
otu2380	86	177	52
otu2381	182	23	4
otu2382	120	105	101
otu2383	81	74	61
otu2384	160	109	53
otu2385	74	135	87
otu2386	78	131	29
otu2387	128	121	76
otu2388	95	51	133
otu2389	49	33	47
otu2390	82	191	71
otu2391	57	23	48
otu2392	97	38	58
otu2393	65	25	47
otu2394	135	31	109
otu2395	70	190	49
otu2396	55	14	37
otu2397	106	49	149
otu2398	72	158	58
otu2399	69	171	52
otu2400	129	81	75
otu2401	67	18	38
otu2402	77	66	155
otu2403	79	36	31
otu2404	80	61	52
otu2405	69	23	44
otu2406	131	81	65
otu2407	149	38	120
otu2408	59	16	46
otu2409	117	171	71
otu2410	47	91	34
otu2411	72	93	66
otu2412	147	78	120
otu2413	84	53	43
otu2414	132	103	87
otu2415	82	133	70
otu2416	122	133	55
otu2417	87	126	74
otu2418	32	57	149
otu2419	48	9	61
otu2420	131	102	67
otu2421	58	156	67
otu2422	101	92	79
otu2423	72	166	44
otu2424	38	16	33
otu2425	154	36	96
otu2426	121	109	83
otu2427	120	77	45
otu2428	89	202	49
otu2429	127	33	58
otu2430	89	129	63
otu2431	106	16	27
otu2432	72	178	53
otu2433	146	89	133
otu2434	80	99	90
otu2435	1	7	7
otu2436	82	181	50
otu2437	160	11	27
otu2438	21	37	53
otu2439	155	84	104
otu2440	69	26	31
otu2441	52	33	51
otu2442	33	9	71
otu2443	84	166	83
otu2444	160	43	71
otu2445	56	20	35
otu2446	47	51	178
otu2447	93	160	52
otu2448	97	89	83
otu2449	98	108	75
otu2450	127	90	43
otu2451	109	32	46
otu2452	61	8	47
otu2453	85	114	121
otu2454	112	201	61
otu2455	125	83	66
otu2456	30	25	45
otu2457	164	35	18
otu2458	57	68	152
otu2459	118	79	49
otu2460	69	174	48
otu2461	111	105	60
otu2462	99	42	39
otu2463	91	114	70
otu2464	124	65	48
otu2465	120	56	102
otu2466	71	174	44
otu2467	78	70	29
otu2468	41	8	69
otu2469	140	93	136
otu2470	81	184	46
otu2471	104	80	69
otu2472	63	17	45
otu2473	145	42	117
otu2474	19	61	64
otu2475	53	83	8
otu2476	134	50	97
otu2477	166	29	74
otu2478	133	37	124
otu2479	150	51	29
otu2480	157	28	192
otu2481	101	63	72
otu2482	25	31	32
otu2483	59	24	37
otu2484	81	160	44
otu2485	115	85	26
otu2486	97	60	70
otu2487	145	38	80
otu2488	144	137	59
otu2489	74	88	148
otu2490	45	18	28
otu2491	88	150	56
