	MPSG1	MPSG2	MPSG3
otu1257	69	219	96
otu1258	105	202	115
otu1259	41	168	157
otu1260	142	414	210
otu1261	60	135	77
otu1262	257	26	207
otu1263	319	359	184
otu1264	57	148	33
otu1265	144	476	200
otu1266	116	66	85
otu1267	157	333	29
otu1268	178	390	202
otu1269	217	251	263
otu1270	119	294	220
otu1271	149	101	61
otu1272	192	156	109
otu1273	50	445	66
otu1274	73	231	66
otu1275	54	178	65
otu1276	71	302	186
otu1277	259	215	231
otu1278	128	79	117
otu1279	150	326	165
otu1280	107	114	95
otu1281	102	118	165
otu1282	38	463	15
otu1283	112	576	149
otu1284	76	141	63
otu1285	107	179	45
otu1286	63	235	47
otu1287	115	219	102
otu1288	69	165	82
otu1289	112	143	94
otu1290	128	76	95
otu1291	132	517	96
otu1292	63	151	112
otu1293	122	291	213
otu1294	184	316	190
otu1295	247	45	123
otu1296	82	564	161
otu1297	65	200	101
otu1298	128	535	144
otu1299	109	135	102
otu1300	216	344	324
otu1301	125	276	59
otu1302	329	184	271
otu1303	152	281	110
otu1304	68	174	180
otu1305	163	331	199
otu1306	68	180	80
otu1307	161	129	187
otu1308	87	173	103
otu1309	149	282	272
otu1310	169	61	148
otu1311	93	94	106
otu1312	161	312	76
otu1313	98	186	216
otu1314	103	269	223
otu1315	79	101	76
otu1316	127	79	87
otu1317	99	142	86
otu1318	142	141	211
otu1319	165	74	92
otu1320	74	239	118
otu1321	98	121	50
otu1322	169	181	185
otu1323	64	215	62
otu1324	118	236	300
otu1325	157	352	229
otu1326	101	84	70
otu1327	71	21	62
otu1328	68	261	18
otu1329	51	336	106
otu1330	88	140	79
otu1331	35	380	64
otu1332	90	140	53
otu1333	76	93	32
otu1334	94	127	103
otu1335	45	98	48
otu1336	64	56	74
otu1337	118	474	210
otu1338	64	183	109
otu1339	118	182	153
otu1340	57	145	63
otu1341	26	17	23
otu1342	114	70	107
otu1343	51	306	66
otu1344	134	284	208
otu1345	123	171	154
otu1346	191	58	204
otu1347	281	153	242
otu1348	109	146	168
otu1349	97	108	77
otu1350	28	188	27
otu1351	60	79	58
otu1352	35	127	59
otu1353	163	268	221
otu1354	9	135	93
otu1355	83	121	133
otu1356	182	310	220
otu1357	115	118	115
otu1358	109	263	241
otu1359	52	136	64
otu1360	166	132	92
otu1361	101	98	94
otu1362	57	144	85
otu1363	54	185	35
otu1364	68	94	57
otu1365	160	74	110
otu1366	205	238	209
otu1367	71	112	94
otu1368	68	95	74
otu1369	146	78	163
otu1370	194	48	158
otu1371	47	196	164
otu1372	56	156	115
otu1373	78	74	117
otu1374	163	323	224
otu1375	138	242	147
otu1376	128	101	88
otu1377	102	43	79
otu1378	99	300	235
otu1379	132	265	229
otu1380	74	16	22
otu1381	74	152	100
otu1382	47	114	88
otu1383	100	162	88
otu1384	53	108	65
otu1385	36	218	38
otu1386	68	145	131
otu1387	126	110	139
otu1388	99	94	106
otu1389	133	57	85
otu1390	258	159	217
otu1391	189	87	359
otu1392	213	219	125
otu1393	101	340	172
otu1394	93	131	86
otu1395	144	86	67
otu1396	55	195	123
otu1397	462	4	134
otu1398	111	108	76
otu1399	152	135	166
otu1400	116	273	220
otu1401	84	168	22
otu1402	46	127	74
otu1403	121	185	37
otu1404	73	60	42
otu1405	78	121	143
otu1406	12	47	96
otu1407	165	265	174
otu1408	106	266	122
otu1409	103	253	220
otu1410	270	72	150
otu1411	244	187	278
otu1412	61	131	150
otu1413	121	220	192
otu1414	212	235	179
otu1415	92	275	215
otu1416	59	149	75
otu1417	66	537	73
otu1418	92	139	53
otu1419	57	11	33
otu1420	47	119	52
otu1421	156	292	151
otu1422	125	349	153
otu1423	45	127	30
otu1424	34	266	9
otu1425	99	261	188
otu1426	52	96	60
otu1427	216	122	177
otu1428	143	123	57
otu1429	3	25	8
otu1430	138	237	207
otu1431	172	29	235
otu1432	51	124	89
otu1433	81	105	73
otu1434	244	77	36
otu1435	52	553	85
otu1436	96	122	68
otu1437	38	83	46
otu1438	98	153	99
otu1439	42	211	8
otu1440	59	525	107
otu1441	147	124	46
otu1442	42	5	220
otu1443	81	412	135
otu1444	64	6	11
otu1445	150	230	226
otu1446	50	94	69
otu1447	137	282	173
otu1448	78	100	38
otu1449	70	343	224
otu1450	158	119	32
otu1451	170	32	146
otu1452	71	156	110
otu1453	200	414	151
otu1454	138	81	142
otu1455	34	138	32
otu1456	60	154	91
otu1457	110	80	122
otu1458	89	201	122
otu1459	61	257	44
otu1460	250	230	315
otu1461	39	200	89
otu1462	115	74	50
otu1463	378	2	127
otu1464	103	133	143
otu1465	101	46	100
otu1466	23	210	50
otu1467	47	99	45
otu1468	41	206	178
otu1469	68	106	128
otu1470	205	192	186
otu1471	66	19	54
otu1472	102	142	151
otu1473	73	75	63
otu1474	198	86	135
otu1475	64	152	79
otu1476	97	216	145
otu1477	134	90	59
otu1478	93	95	245
otu1479	75	105	67
otu1480	77	112	80
otu1481	164	189	126
otu1482	111	37	102
otu1483	90	226	168
otu1484	83	114	57
otu1485	192	14	121
otu1486	92	109	84
otu1487	15	166	42
otu1488	66	70	50
otu1489	90	123	63
otu1490	68	101	62
otu1491	106	185	172
otu1492	185	7	126
otu1493	50	69	52
otu1494	20	232	162
otu1495	135	172	204
otu1496	148	80	136
otu1497	126	241	143
otu1498	123	266	294
otu1499	44	180	67
otu1500	94	124	106
otu1501	79	215	226
otu1502	104	48	87
otu1503	93	241	114
otu1504	129	131	78
otu1505	91	93	41
otu1506	65	452	101
otu1507	250	189	192
otu1508	175	187	105
otu1509	90	84	88
otu1510	65	47	37
otu1511	167	122	112
otu1512	66	59	88
otu1513	18	144	33
otu1514	273	132	204
otu1515	157	112	96
otu1516	201	198	207
otu1517	205	157	180
otu1518	34	81	233
otu1519	37	173	65
otu1520	36	158	69
otu1521	134	106	61
otu1522	53	81	35
otu1523	57	131	50
otu1524	84	145	121
otu1525	174	94	248
otu1526	39	302	31
otu1527	88	112	66
otu1528	37	67	57
otu1529	167	200	166
otu1530	86	117	60
otu1531	108	238	162
otu1532	89	133	100
otu1533	166	72	48
otu1534	90	142	86
otu1535	147	135	169
otu1536	55	62	90
otu1537	136	99	53
otu1538	98	175	67
otu1539	87	289	111
otu1540	281	122	223
otu1541	113	87	50
otu1542	43	105	27
otu1543	61	74	52
otu1544	44	34	25
otu1545	91	74	75
otu1546	47	133	38
otu1547	81	107	87
otu1548	85	176	36
otu1549	94	99	72
otu1550	53	110	43
otu1551	122	209	157
otu1552	51	419	81
otu1553	84	176	55
otu1554	50	11	58
otu1555	38	201	26
otu1556	35	507	59
otu1557	178	189	248
otu1558	63	71	90
otu1559	28	123	24
otu1560	107	128	121
otu1561	99	57	24
otu1562	50	151	48
otu1563	87	270	124
otu1564	36	195	121
otu1565	17	267	39
otu1566	49	198	106
otu1567	83	175	95
otu1568	113	96	62
otu1569	70	72	43
otu1571	209	148	268
otu1572	78	87	76
otu1573	65	162	84
otu1574	64	125	95
otu1575	90	97	67
otu1576	37	194	39
otu1577	95	106	114
otu1578	57	154	78
otu1579	107	207	214
otu1580	13	167	127
otu1581	83	121	101
otu1582	49	50	117
otu1583	62	115	69
otu1584	56	161	79
otu1585	14	93	37
otu1586	87	82	37
otu1587	96	107	157
otu1588	84	80	76
otu1589	26	94	41
otu1590	89	223	82
otu1591	106	209	182
otu1592	77	228	272
otu1593	124	121	74
otu1594	87	60	49
otu1595	118	88	109
otu1596	70	50	45
otu1597	154	201	145
otu1598	30	24	27
otu1599	150	102	57
otu1600	89	61	69
otu1601	76	100	40
otu1602	163	154	196
otu1603	111	65	76
otu1604	55	92	79
otu1605	59	80	74
otu1606	57	108	94
otu1607	159	154	103
otu1608	58	109	90
otu1609	144	289	130
otu1610	84	105	71
otu1611	128	210	172
otu1612	49	119	68
otu1613	35	76	32
otu1614	38	165	56
otu1615	39	82	38
otu1616	113	240	156
otu1617	99	227	145
otu1618	283	269	68
otu1619	109	190	163
otu1620	40	107	72
otu1621	19	82	57
otu1622	48	36	41
otu1623	43	280	80
otu1624	78	125	111
otu1625	85	96	51
otu1626	126	173	166
otu1627	59	125	38
otu1628	91	71	132
otu1629	53	128	80
otu1630	91	101	77
otu1631	143	124	150
otu1632	72	89	67
otu1633	39	65	47
otu1634	21	9	9
otu1635	42	85	52
otu1636	34	133	48
otu1637	38	96	50
otu1638	35	135	40
otu1639	82	265	115
otu1640	4	212	23
otu1641	79	117	55
otu1642	52	181	61
otu1643	75	216	161
otu1644	95	201	131
otu1645	61	95	105
otu1646	101	119	132
otu1647	129	182	196
otu1648	48	77	79
otu1649	26	44	77
otu1650	15	96	76
otu1651	40	230	33
otu1652	36	164	63
otu1653	163	169	79
otu1654	49	127	84
otu1655	79	90	128
otu1656	112	145	169
otu1657	9	49	44
otu1658	141	115	89
otu1659	119	158	156
otu1660	94	354	76
otu1661	48	315	97
otu1662	64	59	74
otu1663	66	324	85
otu1664	52	179	42
otu1665	136	255	129
otu1666	21	297	53
otu1667	118	163	63
otu1668	88	120	37
otu1669	24	154	17
otu1670	86	35	59
otu1671	68	59	72
otu1672	44	154	57
otu1673	248	105	180
otu1674	19	448	24
otu1675	68	113	61
otu1676	154	155	81
otu1677	98	284	129
otu1678	75	379	120
otu1679	47	50	77
otu1680	50	77	35
otu1681	199	91	148
otu1682	144	207	124
otu1683	186	119	148
otu1684	35	102	31
otu1685	41	81	38
otu1686	33	71	77
otu1687	45	51	42
otu1688	94	74	54
otu1689	56	101	41
otu1690	49	210	44
otu1691	22	140	40
otu1692	89	120	146
otu1693	90	125	201
otu1694	33	56	50
otu1695	36	76	80
otu1696	211	90	138
otu1697	184	116	152
otu1698	81	71	157
otu1699	52	130	117
otu1700	121	157	159
otu1701	58	231	118
otu1702	29	226	33
otu1703	86	118	55
otu1704	67	70	52
otu1705	41	78	74
otu1706	52	74	42
otu1707	54	87	50
otu1708	103	221	141
otu1709	53	31	29
otu1710	35	76	40
otu1711	122	61	134
otu1712	18	62	53
otu1713	80	72	117
otu1714	25	86	64
otu1715	37	68	28
otu1716	12	119	80
otu1717	35	46	36
otu1718	69	152	51
otu1719	150	185	158
otu1720	33	154	95
otu1721	117	267	112
otu1722	74	160	48
otu1723	39	122	65
otu1724	128	179	141
otu1725	92	114	46
otu1726	173	101	150
otu1727	53	113	43
otu1728	96	117	52
otu1729	73	25	48
otu1730	70	30	42
otu1731	27	102	36
otu1732	62	45	37
otu1733	98	20	65
otu1734	57	57	79
otu1735	62	90	16
otu1736	81	40	66
otu1737	31	71	29
otu1738	48	69	47
otu1739	42	131	54
otu1740	69	276	117
otu1741	74	132	66
otu1742	221	108	163
otu1743	72	64	89
otu1744	79	194	147
otu1745	41	58	36
otu1746	43	34	33
otu1747	35	413	49
otu1748	40	33	42
otu1749	67	392	113
otu1750	48	58	41
otu1751	64	40	93
otu1752	39	57	35
otu1753	275	2	80
otu1754	40	50	33
otu1755	51	200	17
otu1756	26	170	13
otu1757	140	172	158
otu1758	472	0	0
otu1759	53	105	28
otu1760	24	93	32
otu1761	18	121	27
otu1762	68	262	145
otu1763	146	137	151
otu1764	74	111	38
otu1765	103	94	45
otu1766	84	134	87
otu1767	24	233	57
otu1768	22	145	65
otu1769	157	358	121
otu1770	47	78	68
otu1771	71	51	50
otu1772	40	98	30
otu1773	36	67	29
otu1774	89	43	56
otu1775	82	129	133
otu1776	72	101	74
otu1777	112	30	98
otu1778	43	82	53
otu1779	84	228	69
otu1780	110	108	128
otu1781	25	94	18
otu1782	95	135	153
otu1783	59	52	36
otu1784	137	109	118
otu1785	52	100	42
otu1786	39	100	60
otu1787	89	50	73
otu1788	79	96	76
otu1789	100	40	94
otu1790	44	236	62
otu1791	98	203	120
otu1792	6	287	49
otu1793	201	88	161
otu1794	6	90	23
otu1795	48	99	92
otu1796	69	108	141
otu1797	79	69	29
otu1798	26	73	28
otu1799	120	106	72
otu1800	51	98	68
otu1801	141	123	124
otu1802	21	76	21
otu1803	9	88	7
otu1804	73	101	62
otu1805	197	98	147
otu1806	9	31	36
otu1807	5	96	15
otu1808	97	27	34
otu1809	41	14	27
otu1810	87	161	108
otu1811	87	64	62
otu1812	52	68	60
otu1813	95	111	157
otu1814	198	75	147
otu1815	64	77	66
otu1816	111	43	42
otu1817	89	62	75
otu1818	114	136	139
otu1819	54	171	56
otu1820	52	105	68
otu1821	34	74	26
otu1822	113	51	54
otu1823	64	93	85
otu1824	17	75	11
otu1825	38	116	10
otu1826	27	90	46
otu1827	85	145	51
otu1828	120	142	131
otu1829	30	95	43
otu1830	43	81	90
otu1831	60	178	80
otu1832	201	96	144
otu1833	122	188	189
otu1834	77	102	59
otu1835	13	175	85
otu1836	50	40	45
otu1837	46	61	46
otu1838	35	112	28
otu1839	179	100	156
otu1840	237	10	136
otu1841	50	94	33
otu1842	82	56	66
otu1843	50	260	70
otu1844	28	14	38
otu1845	106	173	128
otu1846	61	147	94
otu1847	65	153	31
otu1848	107	42	97
otu1849	93	74	69
otu1850	63	63	88
otu1851	92	154	119
otu1852	43	285	88
otu1853	77	36	101
otu1854	73	70	61
otu1855	26	98	16
otu1856	93	91	93
otu1857	67	73	47
otu1858	82	129	115
otu1859	45	58	70
otu1860	27	28	30
otu1861	42	135	52
otu1862	90	63	46
otu1863	88	150	140
otu1864	35	304	35
otu1865	42	140	70
otu1866	11	78	20
otu1867	75	75	113
otu1868	94	135	131
otu1869	132	174	153
otu1870	53	237	75
otu1871	42	61	80
otu1872	72	225	112
otu1873	58	90	24
otu1874	29	67	57
otu1875	83	116	99
otu1876	36	63	46
otu1877	40	106	23
otu1878	54	45	63
otu1879	29	120	31
otu1880	76	65	58
otu1881	47	76	43
otu1882	44	88	51
otu1883	48	114	49
otu1884	87	78	41
otu1885	51	172	148
otu1886	50	132	82
otu1887	22	63	38
otu1888	20	97	51
otu1889	70	47	45
otu1890	70	56	74
otu1891	77	113	135
otu1892	45	112	52
otu1893	75	62	20
otu1894	126	154	112
otu1895	84	123	62
otu1896	8	20	5
otu1897	45	60	64
otu1898	107	99	123
otu1899	176	88	135
otu1900	68	57	36
otu1901	14	60	30
otu1902	18	56	39
otu1903	129	15	47
otu1904	49	203	89
otu1905	25	149	48
otu1906	68	93	79
otu1907	87	148	165
otu1908	52	56	73
otu1909	32	84	46
otu1910	100	9	454
otu1911	97	50	44
otu1912	34	107	9
otu1913	104	90	108
otu1914	123	119	132
otu1915	71	105	62
otu1916	63	133	27
otu1917	92	117	117
otu1918	96	121	114
otu1919	30	74	27
otu1920	30	60	35
otu1921	123	192	136
otu1922	24	21	21
otu1923	185	70	123
otu1924	21	39	22
otu1925	34	67	36
otu1926	79	254	64
otu1927	65	203	103
otu1928	19	82	63
otu1929	37	131	42
otu1930	22	378	14
otu1931	23	43	29
otu1932	11	70	51
otu1933	23	29	76
otu1934	27	13	18
otu1935	67	59	42
otu1936	70	113	51
otu1937	70	127	85
otu1938	22	254	98
otu1939	85	211	97
otu1940	79	39	38
otu1941	20	2	7
otu1942	75	135	107
otu1943	39	103	64
otu1944	23	67	27
otu1945	108	167	112
otu1946	12	124	12
otu1947	38	124	42
otu1948	177	91	123
otu1949	100	29	8
otu1950	36	85	25
otu1951	51	290	116
otu1952	52	66	20
otu1953	100	142	74
otu1954	104	96	155
otu1955	98	141	123
otu1956	81	136	93
otu1957	74	283	96
otu1958	14	80	60
otu1959	65	91	34
otu1960	61	226	71
otu1961	73	128	106
otu1962	44	82	41
otu1963	24	50	32
otu1964	46	52	37
otu1965	14	40	30
otu1966	3	9	13
otu1967	27	56	39
otu1968	62	165	78
otu1969	37	90	49
otu1970	55	65	32
otu1971	19	108	23
otu1972	42	75	35
otu1973	4	39	60
otu1974	150	242	102
otu1975	53	169	98
otu1976	11	49	21
otu1977	76	39	37
otu1978	33	70	18
otu1979	19	6	24
otu1980	72	172	71
otu1981	45	46	33
otu1982	105	33	66
otu1983	31	92	27
otu1984	46	41	21
otu1985	64	115	77
otu1986	53	92	75
otu1987	52	73	31
otu1988	15	169	42
otu1989	81	61	64
otu1990	96	129	115
otu1991	177	98	129
otu1992	25	92	49
otu1993	43	76	71
otu1994	32	37	52
otu1995	65	79	116
otu1996	65	36	52
otu1997	82	78	71
otu1998	63	80	93
otu1999	49	63	83
otu2000	48	89	46
otu2001	32	25	29
otu2002	31	93	45
otu2003	98	157	121
otu2004	75	38	51
otu2005	65	46	72
otu2006	12	26	29
otu2007	22	37	51
otu2008	154	87	126
otu2009	108	114	108
otu2010	19	104	133
otu2011	66	72	102
otu2012	119	17	44
otu2013	38	102	39
otu2014	24	143	41
otu2015	22	10	12
otu2016	17	104	45
otu2017	54	99	57
otu2018	99	137	154
otu2019	7	76	15
otu2020	12	161	47
otu2021	73	38	94
otu2022	13	108	44
otu2023	46	64	54
otu2024	18	26	9
otu2025	90	87	99
otu2026	38	40	54
otu2027	59	34	73
otu2028	80	74	83
otu2029	101	140	84
otu2030	14	127	24
otu2031	46	40	68
otu2032	121	142	40
otu2033	73	119	100
otu2034	120	116	100
otu2035	81	128	92
otu2036	35	59	63
otu2037	26	72	41
otu2038	38	104	62
otu2039	29	100	15
otu2040	29	67	33
otu2041	26	10	27
otu2042	38	106	59
otu2043	22	50	25
otu2044	31	78	25
otu2045	44	7	25
otu2046	21	38	22
otu2047	36	67	31
otu2048	56	146	83
otu2049	24	106	50
otu2050	14	25	23
otu2051	57	45	51
otu2052	14	61	20
otu2053	22	68	53
otu2054	85	17	55
otu2055	29	17	9
otu2056	37	76	34
otu2057	63	69	30
otu2058	19	112	29
otu2059	98	188	84
otu2060	43	176	89
otu2061	31	56	11
otu2062	84	41	30
otu2063	52	24	4
otu2064	29	276	41
otu2065	30	66	0
otu2066	9	57	87
otu2067	114	111	101
otu2068	13	54	40
otu2069	110	92	107
otu2070	79	97	133
otu2071	44	28	53
otu2072	137	77	134
otu2073	52	22	19
otu2074	155	94	117
otu2075	18	96	28
otu2076	26	27	39
otu2077	43	90	137
otu2078	66	119	99
otu2079	47	185	83
otu2080	55	133	55
otu2081	21	12	26
otu2082	33	247	46
otu2083	67	33	50
otu2084	27	76	24
otu2085	31	200	77
otu2086	121	76	75
otu2087	38	35	29
otu2088	204	13	79
otu2089	42	162	89
otu2090	13	50	20
otu2091	16	87	11
otu2092	49	34	86
otu2093	57	247	50
otu2094	19	109	20
otu2095	42	85	52
otu2096	42	25	59
otu2097	56	184	78
otu2098	23	10	13
otu2099	65	37	24
otu2100	16	91	34
otu2101	73	22	60
otu2102	20	15	26
otu2103	91	28	61
otu2104	34	89	32
otu2105	100	11	21
otu2106	10	86	39
otu2107	12	87	32
otu2108	148	81	106
otu2109	57	49	36
otu2110	15	35	90
otu2111	30	67	40
otu2112	14	76	20
otu2113	95	41	50
otu2114	103	58	72
otu2115	60	161	69
otu2116	85	7	18
otu2117	57	56	35
otu2118	7	138	43
otu2119	115	114	118
otu2120	121	67	124
otu2121	45	49	51
otu2122	6	13	14
otu2123	38	60	37
otu2124	18	58	19
otu2125	25	38	16
otu2126	42	72	48
otu2127	54	127	90
otu2128	65	23	65
otu2129	21	2	11
otu2130	80	105	63
otu2131	92	7	47
otu2132	46	91	29
otu2133	102	130	100
otu2134	33	89	44
otu2135	37	136	33
otu2136	76	81	84
otu2137	19	39	11
otu2138	46	67	88
otu2139	23	83	18
otu2140	4	88	47
otu2141	74	154	54
otu2142	43	58	17
otu2143	19	52	18
otu2144	78	26	58
otu2145	49	105	79
otu2146	113	84	98
otu2147	71	121	59
otu2148	148	73	125
otu2149	103	15	42
otu2150	65	61	86
otu2151	51	52	25
otu2152	21	9	84
otu2153	71	36	39
otu2154	13	62	8
otu2155	67	88	114
otu2156	23	14	12
otu2157	40	70	49
otu2158	21	4	11
otu2159	49	36	23
otu2160	83	162	78
otu2161	24	61	60
otu2162	53	25	28
otu2163	62	56	69
otu2164	53	98	27
otu2165	27	79	32
otu2166	15	49	7
otu2167	40	37	94
otu2168	92	88	73
otu2169	53	15	75
otu2170	54	61	43
otu2171	23	49	16
otu2172	45	173	63
otu2173	56	171	102
otu2174	28	86	54
otu2175	33	42	52
otu2176	32	39	67
otu2177	18	34	27
otu2178	5	60	112
otu2179	119	49	73
otu2180	32	15	9
otu2181	102	34	74
otu2182	43	38	30
otu2183	68	23	26
otu2184	90	36	82
otu2185	28	70	25
otu2186	71	32	69
otu2187	11	88	84
otu2188	77	130	97
otu2189	14	113	23
otu2190	21	35	18
otu2191	36	119	96
otu2192	84	43	95
otu2193	143	64	107
otu2194	15	124	175
otu2195	47	39	45
otu2196	45	120	80
otu2197	26	41	27
otu2198	71	41	100
otu2199	65	33	34
otu2200	32	39	28
otu2201	9	56	8
otu2202	4	19	71
otu2203	17	88	19
otu2204	38	97	38
otu2205	40	97	51
otu2206	90	93	80
otu2207	107	52	91
otu2208	24	60	44
otu2209	22	86	14
otu2210	52	61	81
otu2211	29	41	35
otu2212	98	109	118
otu2213	135	57	99
otu2214	15	41	12
otu2215	15	77	32
otu2216	58	129	56
otu2217	44	89	73
otu2218	22	97	25
otu2219	34	123	93
otu2220	39	56	37
otu2221	19	36	28
otu2222	30	53	34
otu2223	19	21	16
otu2224	51	118	84
otu2225	33	22	25
otu2226	49	42	68
otu2227	139	72	105
otu2228	116	65	94
otu2229	48	48	27
otu2230	13	90	5
otu2231	45	97	78
otu2232	28	29	30
otu2233	65	85	86
otu2234	72	32	67
otu2235	135	53	83
otu2236	33	75	15
otu2237	22	69	34
otu2238	42	34	45
otu2239	58	48	41
otu2240	40	38	42
otu2241	51	68	30
otu2242	28	54	27
otu2243	17	36	17
otu2244	41	34	65
otu2245	151	4	78
otu2246	58	24	45
otu2247	20	98	7
otu2248	39	36	25
otu2249	41	43	49
otu2250	17	106	34
otu2251	74	147	57
otu2252	27	65	20
otu2253	40	67	76
otu2254	38	68	24
otu2255	59	26	38
otu2256	20	41	15
otu2257	14	119	27
otu2258	21	31	28
otu2259	8	28	21
otu2260	19	16	51
otu2261	21	57	24
otu2262	45	118	42
otu2263	77	64	76
otu2264	33	73	34
otu2265	43	93	78
otu2266	55	80	49
otu2267	68	15	157
otu2268	101	16	34
otu2269	43	80	63
otu2270	48	57	91
otu2271	30	89	17
otu2272	92	86	91
otu2273	26	64	53
otu2274	26	40	36
otu2275	29	56	36
otu2276	15	135	20
otu2277	18	48	26
otu2278	47	23	42
otu2279	52	36	64
otu2280	18	42	28
otu2281	114	15	31
otu2282	81	65	85
otu2283	10	37	11
otu2284	46	68	90
otu2285	53	75	94
otu2286	24	102	48
otu2287	58	44	35
otu2288	49	34	27
otu2289	46	35	56
otu2290	26	50	31
otu2291	103	76	90
otu2292	107	75	86
otu2293	21	95	22
otu2294	58	32	46
otu2295	14	27	27
otu2296	35	35	46
otu2297	89	35	92
otu2298	15	4	30
otu2299	57	57	31
otu2300	36	26	25
otu2301	11	36	36
otu2302	29	46	25
otu2303	55	11	62
otu2304	78	98	61
otu2305	18	120	39
otu2306	64	124	27
otu2307	38	94	18
otu2308	39	35	74
otu2309	41	47	17
otu2310	23	87	36
otu2311	13	28	14
otu2312	25	42	38
otu2313	55	60	43
otu2314	0	16	0
otu2315	22	32	16
otu2316	108	95	96
otu2317	13	44	19
otu2318	35	52	9
otu2319	25	21	24
otu2320	114	18	41
otu2321	52	27	49
otu2322	5	153	11
otu2323	14	48	48
otu2324	24	29	39
otu2325	16	63	58
otu2326	90	42	129
otu2327	67	24	41
otu2328	49	23	24
otu2329	35	45	28
otu2330	56	53	60
otu2331	49	67	38
otu2332	29	43	15
otu2333	56	117	80
otu2334	18	41	19
otu2335	14	54	11
otu2336	99	7	384
otu2337	55	5	21
otu2338	22	76	38
otu2339	14	84	4
otu2340	38	165	61
otu2341	31	105	25
otu2342	17	51	26
otu2343	35	45	32
otu2344	33	52	68
otu2345	51	52	78
otu2346	16	49	18
otu2347	34	62	34
otu2348	170	1	58
otu2349	56	53	53
otu2350	10	18	47
otu2351	12	39	16
otu2352	57	22	79
otu2353	81	71	72
otu2354	60	112	44
otu2355	26	95	23
otu2356	49	161	74
otu2357	53	41	77
otu2358	36	70	36
otu2359	96	71	69
otu2360	60	46	71
otu2361	16	36	25
otu2362	86	72	86
otu2363	49	30	20
otu2364	32	38	19
otu2365	34	39	64
otu2366	21	7	25
otu2367	32	46	28
otu2368	25	32	23
otu2369	3	99	36
otu2370	12	38	12
otu2371	83	38	78
otu2372	10	98	57
otu2373	82	33	19
otu2374	36	50	22
otu2375	15	43	17
otu2376	20	81	21
otu2377	11	69	12
otu2378	127	51	91
otu2379	40	68	49
otu2380	14	46	12
otu2381	55	6	55
otu2382	30	44	8
otu2383	17	101	28
otu2384	6	48	0
otu2385	27	91	25
otu2386	39	69	41
otu2387	7	43	34
otu2388	18	30	45
otu2389	113	47	90
otu2390	15	61	19
otu2391	109	55	84
otu2392	95	51	65
otu2393	115	49	79
otu2394	49	45	22
otu2395	18	34	18
otu2396	137	51	86
otu2397	7	60	15
otu2398	16	47	20
otu2399	20	42	25
otu2400	13	36	41
otu2401	77	52	63
otu2402	13	57	11
otu2403	17	31	8
otu2404	25	144	27
otu2405	80	97	74
otu2406	35	65	14
otu2407	42	22	39
otu2408	120	54	90
otu2409	14	8	12
otu2410	61	74	65
otu2411	58	50	45
otu2412	16	40	14
otu2413	25	90	30
otu2414	22	43	45
otu2415	32	71	2
otu2416	43	32	32
otu2417	37	19	71
otu2418	31	80	41
otu2419	36	99	77
otu2420	18	51	24
otu2421	36	44	55
otu2422	37	11	110
otu2423	18	38	16
otu2424	40	138	52
otu2425	31	83	19
otu2426	14	58	30
otu2427	29	93	25
otu2428	11	40	6
otu2429	30	72	54
otu2430	29	84	16
otu2431	99	47	67
otu2432	13	49	10
otu2433	12	28	3
otu2434	32	52	34
otu2435	10	0	3
otu2436	13	39	13
otu2437	68	41	40
otu2438	54	104	75
otu2439	18	67	20
otu2440	69	53	77
otu2441	51	56	81
otu2442	30	88	69
otu2443	18	40	10
otu2444	23	31	37
otu2445	130	45	77
otu2446	11	74	18
otu2447	22	31	36
otu2448	25	54	10
otu2449	31	22	64
otu2450	31	74	40
otu2451	75	25	64
otu2452	115	53	83
otu2453	13	62	35
otu2454	9	8	16
otu2455	40	38	34
otu2456	69	75	96
otu2457	74	14	48
otu2458	19	54	18
otu2459	55	50	48
otu2460	17	40	17
otu2461	28	26	34
otu2462	67	49	61
otu2463	46	74	49
otu2464	6	84	21
otu2465	28	22	20
otu2466	15	32	17
otu2467	32	52	95
otu2468	28	86	74
otu2469	19	9	5
otu2470	11	30	13
otu2471	26	48	25
otu2472	106	51	78
otu2473	48	30	17
otu2474	52	79	56
otu2475	0	12	71
otu2476	22	55	29
otu2477	54	19	26
otu2478	58	37	20
otu2479	70	8	31
otu2480	8	6	10
otu2481	49	39	57
otu2482	55	119	72
otu2483	78	65	65
otu2484	14	35	14
otu2485	30	41	30
otu2486	21	107	23
otu2487	43	19	35
otu2488	26	14	15
otu2489	7	21	19
otu2490	69	37	84
otu2491	20	45	3
otu2492	27	191	24
otu2493	13	10	6
otu2494	105	51	79
otu2495	14	34	19
otu2496	8	34	14
otu2497	10	31	15
otu2498	0	59	9
otu2499	41	25	18
otu2500	22	32	11
otu2501	25	75	39
otu2502	23	29	33
otu2503	38	95	36
otu2504	30	31	21
otu2505	60	45	32
otu2506	33	59	24
otu2507	43	61	40
otu2508	25	40	18
otu2509	25	57	50
otu2510	51	15	19
otu2511	57	10	38
otu2512	27	40	16
otu2513	108	31	62
otu2514	2	16	75
otu2515	14	52	5
otu2516	42	42	10
otu2517	32	84	75
otu2518	80	72	80
otu2519	34	95	70
otu2520	33	38	38
otu2521	46	6	46
otu2522	3	72	16
otu2523	55	42	35
otu2524	10	28	12
otu2525	45	29	20
otu2526	5	48	25
otu2527	40	70	34
otu2528	3	81	6
